注意事项,#genre#
20251006022411仅供测试自用如有侵权请通知,http://rihou.cc:555/mp4?id=lndjll.mp4
咪咕🇨🇳频道,#genre#
CCTV1咪咕,http://go.bkpcp.top/mg/cctv1 
CCTV2咪咕,http://go.bkpcp.top/mg/cctv2 
CCTV3咪咕,http://go.bkpcp.top/mg/cctv3 
CCTV4咪咕,http://go.bkpcp.top/mg/cctv4 
CCTV5咪咕,http://go.bkpcp.top/mg/cctv5 
CCTV-5+咪咕,http://go.bkpcp.top/mg/cctv5p 
CCTV6咪咕,http://go.bkpcp.top/mg/cctv6 
CCTV7咪咕,http://go.bkpcp.top/mg/cctv7 
CCTV8咪咕,http://go.bkpcp.top/mg/cctv8 
CCTV9咪咕,http://go.bkpcp.top/mg/cctv9 
CCTV10咪咕,http://go.bkpcp.top/mg/cctv10 
CCTV11咪咕,http://go.bkpcp.top/mg/cctv11 
CCTV12咪咕,http://go.bkpcp.top/mg/cctv12 
CCTV13咪咕,http://go.bkpcp.top/mg/cctv13 
CCTV14咪咕,http://go.bkpcp.top/mg/cctv14 
CCTV15咪咕,http://go.bkpcp.top/mg/cctv15 
CCTV16咪咕,http://go.bkpcp.top/mg/cctv16 
CCTV17咪咕,http://go.bkpcp.top/mg/cctv17 
cct4欧洲咪咕,http://go.bkpcp.top/mg/cctv4o 
cct4美洲咪咕,http://go.bkpcp.top/mg/cctv4m 
CGTN-西咪咕,http://go.bkpcp.top/mg/cgtne 
CGTN-阿咪咕,http://go.bkpcp.top/mg/cgtna 
CGTN-法咪咕,http://go.bkpcp.top/mg/cgtnf 
北京卫视咪咕,http://go.bkpcp.top/mg/bjws 
东方卫视咪咕,http://go.bkpcp.top/mg/dfws 
浙江卫视咪咕,http://go.bkpcp.top/mg/zjws 
江苏卫视咪咕,http://go.bkpcp.top/mg/jsws 
湖南卫视咪咕,http://go.bkpcp.top/mg/hunws 
广东卫视咪咕,http://go.bkpcp.top/mg/gdws 
深圳卫视咪4k,http://go.bkpcp.top/mg/szws 
山东卫视咪咕,http://go.bkpcp.top/mg/sdws 
河南卫视咪咕,http://go.bkpcp.top/mg/hnws 
江西卫视咪咕,http://go.bkpcp.top/mg/jxws 
湖北卫视咪咕,http://go.bkpcp.top/mg/hubws 
海南卫视咪咕,http://go.bkpcp.top/mg/hinws
陕西卫视咪咕,http://go.bkpcp.top/mg/sxws 
兵团卫视咪咕,http://go.bkpcp.top/mg/btws 
黑龙江视咪咕,http://go.bkpcp.top/mg/hljws
凤凰中文频标,http://m.061899.xyz/mg/fhzw
凤凰资讯频标,http://m.061899.xyz/mg/fhzx
凤凰香港频标,http://m.061899.xyz/mg/fhhk
家庭影院,http://m.061899.xyz/mg/jtyy
动作电影,http://m.061899.xyz/mg/dzdy
影迷电影,http://m.061899.xyz/mg/ymdy
龙江🇨🇳地方,#genre#
哈尔滨新闻综合,http://stream.hrbtv.net/xwzh/sd/live.m3u8
哈尔滨生活,http://stream.hrbtv.net/shpd/sd/live.m3u8
哈尔滨娱乐,http://stream.hrbtv.net/ylpd/sd/live.m3u8
哈尔滨影视,http://stream.hrbtv.net/yspd/sd/live.m3u8
哈尔滨影视,http://stream.hrbtv.net/yspd/sd/live.m3u8?zheild
哈尔滨综合,http://stream.hrbtv.net/xwzh/sd/live.m3u8?zheild
哈尔滨生活,http://stream.hrbtv.net/shpd/sd/live.m3u8?zheild
哈尔滨新闻,https://masterpull.hljtv.com/live/sPvVy8Ju.m3u8
哈尔滨影视,https://stream.hrbtv.net/yspd/sd/live.m3u8
哈尔滨生活,https://stream.hrbtv.net/shpd/sd/live.m3u8
哈尔滨都市,https://stream.hrbtv.net/zxpd/sd/live.m3u8
哈尔滨娱乐,https://stream.hrbtv.net/ylpd/sd/live.m3u8
林甸综合,https://masterpull.hljtv.com/live/23PN6NW9.m3u8
鸡西新闻,https://masterpull.hljtv.com/live/uqFwlQDH.m3u8
绥化综合,https://rmplive.hljtv.com/live/suihua.m3u8
抚远电视台,https://rmplive.hljtv.com/live/fuyuan.m3u8
桦南综合,https://rmplive.hljtv.com/live/huanan.m3u8
汤原综合,https://rmplive.hljtv.com/live/tangyuan.m3u8
安达综合,https://rmplive.hljtv.com/live/anda.m3u8
海伦综合,https://rmplive.hljtv.com/live/hailun.m3u8
齐齐哈尔新闻,https://rmplive.hljtv.com/live/qiqihaer.m3u8
伊春综合,https://rmplive.hljtv.com/live/yichun.m3u8
鹤岗新闻,https://rmplive.hljtv.com/live/hegang.m3u8
七台河新闻,https://rmplive.hljtv.com/live/qitaihe.m3u8
黑河新闻,https://rmplive.hljtv.com/live/heihe.m3u8
林甸综合,https://rmplive.hljtv.com/live/lindian.m3u8
明水综合,https://rmplive.hljtv.com/live/mingshui.m3u8
庆安综合,https://rmplive.hljtv.com/live/qingan.m3u8
青冈综合,https://rmplive.hljtv.com/live/qinggang.m3u8
绥棱综合,https://rmplive.hljtv.com/live/suileng.m3u8
望奎综合,https://rmplive.hljtv.com/live/wangkui.m3u8
肇东综合,https://rmplive.hljtv.com/live/zhaodong.m3u8
宾县综合频道,https://rmplive.hljtv.com/live/binxian.m3u8
巴彦电视台,https://rmplive.hljtv.com/live/bayan.m3u8
方正综合,https://rmplive.hljtv.com/live/fangzheng.m3u8
尚志新闻综合,https://rmplive.hljtv.com/live/shangzhi.m3u8
呼兰综合,https://rmplive.hljtv.com/live/hulan.m3u8
五常综合,https://rmplive.hljtv.com/live/wuchang.m3u8
通河新闻,https://rmplive.hljtv.com/live/tonghe.m3u8
依兰新闻综合,https://rmplive.hljtv.com/live/yilan.m3u8
延寿综合,https://rmplive.hljtv.com/live/yanshou.m3u8
